"Time","总使用率","系统使用率","用户使用率","磁盘IO使用率"
2026-06-14 19:44:30,19%,5%,10%,0%
2026-06-14 19:45:00,45%,9%,31%,0%
2026-06-14 19:45:30,59%,16%,34%,0%
2026-06-14 19:46:00,48%,13%,27%,0%
2026-06-14 19:46:30,51%,14%,28%,0%
2026-06-14 19:47:00,46%,12%,25%,0%
2026-06-14 19:47:30,53%,15%,29%,0%
2026-06-14 19:48:00,49%,13%,27%,0%
2026-06-14 19:48:30,50%,13%,28%,0%
2026-06-14 19:49:00,46%,13%,25%,0%
2026-06-14 19:49:30,52%,14%,29%,0%
2026-06-14 19:50:00,53%,15%,29%,0%
2026-06-14 19:50:30,50%,14%,27%,0%
2026-06-14 19:51:00,54%,15%,29%,0%
2026-06-14 19:51:30,50%,14%,27%,0%
2026-06-14 19:52:00,51%,15%,28%,0%
2026-06-14 19:52:30,53%,15%,28%,0%
2026-06-14 19:53:00,50%,15%,27%,0%
2026-06-14 19:53:30,49%,14%,26%,0%
2026-06-14 19:54:00,50%,14%,27%,0%
2026-06-14 19:54:30,50%,14%,26%,0%
2026-06-14 19:55:00,52%,15%,28%,0%
2026-06-14 19:55:30,49%,14%,26%,0%
2026-06-14 19:56:00,49%,14%,25%,0%
2026-06-14 19:56:30,49%,14%,26%,0%
2026-06-14 19:57:00,49%,14%,26%,0%
2026-06-14 19:57:30,49%,14%,26%,0%
2026-06-14 19:58:00,52%,15%,28%,0%
2026-06-14 19:58:30,50%,14%,26%,0%
2026-06-14 19:59:00,49%,14%,26%,0%
2026-06-14 19:59:30,49%,14%,26%,0%
2026-06-14 20:00:00,57%,16%,32%,0%
2026-06-14 20:00:30,39%,10%,22%,0%
2026-06-14 20:01:00,27%,7%,15%,0%
2026-06-14 20:01:30,26%,6%,15%,0%
2026-06-14 20:02:00,23%,6%,12%,0%
2026-06-14 20:02:30,27%,7%,15%,0%
2026-06-14 20:03:00,25%,6%,14%,0%
2026-06-14 20:03:30,30%,7%,17%,0%
2026-06-14 20:04:00,22%,5%,12%,0%
2026-06-14 20:04:30,26%,6%,14%,0%
2026-06-14 20:05:00,25%,6%,14%,0%
2026-06-14 20:05:30,23%,6%,13%,0%
2026-06-14 20:06:00,24%,6%,13%,0%
2026-06-14 20:06:30,24%,6%,13%,0%
2026-06-14 20:07:00,22%,6%,12%,0%
2026-06-14 20:07:30,23%,6%,12%,0%
2026-06-14 20:08:00,24%,6%,13%,0%
2026-06-14 20:08:30,23%,6%,13%,0%
2026-06-14 20:09:00,22%,6%,11%,0%
2026-06-14 20:09:30,22%,5%,12%,0%