"Time","总已用","总内存","总平均%"
2026-06-14 19:44:30,4 GiB,7 GiB,50.6%
2026-06-14 19:45:00,4 GiB,7 GiB,55.5%
2026-06-14 19:45:30,4 GiB,7 GiB,58.3%
2026-06-14 19:46:00,4 GiB,7 GiB,59.0%
2026-06-14 19:46:30,4 GiB,7 GiB,60.0%
2026-06-14 19:47:00,4 GiB,7 GiB,59.2%
2026-06-14 19:47:30,4 GiB,7 GiB,59.7%
2026-06-14 19:48:00,4 GiB,7 GiB,57.0%
2026-06-14 19:48:30,4 GiB,7 GiB,57.9%
2026-06-14 19:49:00,4 GiB,7 GiB,57.7%
2026-06-14 19:49:30,4 GiB,7 GiB,58.1%
2026-06-14 19:50:00,4 GiB,7 GiB,59.2%
2026-06-14 19:50:30,4 GiB,7 GiB,59.8%
2026-06-14 19:51:00,4 GiB,7 GiB,60.2%
2026-06-14 19:51:30,4 GiB,7 GiB,60.6%
2026-06-14 19:52:00,4 GiB,7 GiB,61.1%
2026-06-14 19:52:30,4 GiB,7 GiB,62.2%
2026-06-14 19:53:00,4 GiB,7 GiB,61.8%
2026-06-14 19:53:30,4 GiB,7 GiB,61.7%
2026-06-14 19:54:00,4 GiB,7 GiB,60.3%
2026-06-14 19:54:30,4 GiB,7 GiB,60.2%
2026-06-14 19:55:00,4 GiB,7 GiB,61.8%
2026-06-14 19:55:30,4 GiB,7 GiB,61.7%
2026-06-14 19:56:00,4 GiB,7 GiB,61.8%
2026-06-14 19:56:30,4 GiB,7 GiB,61.9%
2026-06-14 19:57:00,4 GiB,7 GiB,62.1%
2026-06-14 19:57:30,4 GiB,7 GiB,62.7%
2026-06-14 19:58:00,5 GiB,7 GiB,63.8%
2026-06-14 19:58:30,5 GiB,7 GiB,63.8%
2026-06-14 19:59:00,4 GiB,7 GiB,62.3%
2026-06-14 19:59:30,4 GiB,7 GiB,62.9%
2026-06-14 20:00:00,5 GiB,7 GiB,64.8%
2026-06-14 20:00:30,4 GiB,7 GiB,61.8%
2026-06-14 20:01:00,4 GiB,7 GiB,61.9%
2026-06-14 20:01:30,4 GiB,7 GiB,62.1%
2026-06-14 20:02:00,4 GiB,7 GiB,62.2%
2026-06-14 20:02:30,4 GiB,7 GiB,62.8%
2026-06-14 20:03:00,4 GiB,7 GiB,62.8%
2026-06-14 20:03:30,4 GiB,7 GiB,62.0%
2026-06-14 20:04:00,4 GiB,7 GiB,61.9%
2026-06-14 20:04:30,4 GiB,7 GiB,62.1%
2026-06-14 20:05:00,5 GiB,7 GiB,63.9%
2026-06-14 20:05:30,5 GiB,7 GiB,64.3%
2026-06-14 20:06:00,5 GiB,7 GiB,64.9%
2026-06-14 20:06:30,5 GiB,7 GiB,64.8%
2026-06-14 20:07:00,5 GiB,7 GiB,64.8%
2026-06-14 20:07:30,5 GiB,7 GiB,64.9%
2026-06-14 20:08:00,4 GiB,7 GiB,62.1%
2026-06-14 20:08:30,4 GiB,7 GiB,61.9%
2026-06-14 20:09:00,4 GiB,7 GiB,61.9%
2026-06-14 20:09:30,4 GiB,7 GiB,62.1%