"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2026-06-14 17:46:00,,,647,,,,,
2026-06-14 17:46:30,244,144,,1,447,397,410,0.167
2026-06-14 17:47:00,244,142,,1,444,397,397,0.0333
2026-06-14 17:47:30,244,145,,1,426,392,405,0.0667
2026-06-14 17:48:00,247,147,650,1,433,436,440,0.0667
2026-06-14 17:48:30,247,139,,1,458,427,437,0.267
2026-06-14 17:49:00,247,138,,1,519,575,580,0.367
2026-06-14 17:49:30,244,141,,1,506,514,533,0.133
2026-06-14 17:50:00,244,127,640,1,511,566,572,0.0333
2026-06-14 17:50:30,244,133,,1,512,516,537,0.300
2026-06-14 17:51:00,244,137,,1,506,581,584,0.0333
2026-06-14 17:51:30,244,129,,1,503,515,534,0
2026-06-14 17:52:00,244,141,644,1,522,607,605,0.133
2026-06-14 17:52:30,244,133,,1,524,558,573,0.133
2026-06-14 17:53:00,244,129,,1,523,583,586,0.100
2026-06-14 17:53:30,244,133,,1,528,578,591,0.167
2026-06-14 17:54:00,244,135,642,1,521,638,639,0.267
2026-06-14 17:54:30,244,134,,1,523,572,583,0.333
2026-06-14 17:55:00,244,130,,1,524,578,581,0.167
2026-06-14 17:55:30,244,141,,1,537,596,609,0.200
2026-06-14 17:56:00,244,141,645,1,543,583,583,0.467
2026-06-14 17:56:30,244,136,,1,534,565,577,0.167
2026-06-14 17:57:00,244,133,,1,533,588,591,0.167
2026-06-14 17:57:30,244,127,,1,530,571,583,0.167
2026-06-14 17:58:00,244,131,640,1,529,571,574,0.267
2026-06-14 17:58:30,244,138,,1,528,594,609,0.100
2026-06-14 17:59:00,244,134,,1,531,569,572,0.133
2026-06-14 17:59:30,244,137,,1,537,600,615,0.133
2026-06-14 18:00:00,244,139,642,1,534,565,566,0.267
2026-06-14 18:00:30,244,143,,1,524,585,599,0.200
2026-06-14 18:01:00,244,131,,1,518,574,577,0.0667
2026-06-14 18:01:30,244,120,,1,524,572,586,0.300
2026-06-14 18:02:00,244,134,642,1,521,580,581,0.200
2026-06-14 18:02:30,244,135,,1,522,573,587,0.133
2026-06-14 18:03:00,244,127,,1,528,568,570,0.167
2026-06-14 18:03:30,244,127,,1,529,557,569,0.367
2026-06-14 18:04:00,244,124,641,1,527,602,603,0.100
2026-06-14 18:04:30,244,124,,1,527,562,577,0.100
2026-06-14 18:05:00,249,126,,1,525,577,586,0.133
2026-06-14 18:05:30,247,136,,1,526,475,501,0.133
2026-06-14 18:06:00,247,141,645,1,529,454,467,0.100
2026-06-14 18:06:30,244,137,,1,513,464,488,0.0333
2026-06-14 18:07:00,244,134,,1,512,456,474,0.0667
2026-06-14 18:07:30,244,136,,1,512,427,456,0.100
2026-06-14 18:08:00,244,142,642,1,514,461,476,0.100
2026-06-14 18:08:30,244,140,,1,555,591,609,0.133
2026-06-14 18:09:00,244,139,,1,562,446,460,0.200
2026-06-14 18:09:30,244,142,,1,561,448,475,0.100
2026-06-14 18:10:00,244,141,642,1,547,461,480,0.167
2026-06-14 18:10:30,244,138,,1,493,444,472,0.0667
2026-06-14 18:11:00,244,126,,1,536,470,483,0.0333
2026-06-14 18:11:30,244,127,,1,534,436,463,0.133
2026-06-14 18:12:00,244,139,641,1,535,441,457,0.0333
2026-06-14 18:12:30,244,143,,1,529,443,469,0.1000
2026-06-14 18:13:00,244,134,,1,527,444,460,0.133
2026-06-14 18:13:30,244,135,,1,406,406,435,0.0333
2026-06-14 18:14:00,244,124,642,1,407,291,301,0
2026-06-14 18:14:30,245,124,,1,439,695,676,0.0667
2026-06-14 18:15:00,244,126,,1,457,348,352,0.167
2026-06-14 18:15:30,244,129,,1,479,375,387,0.100
2026-06-14 18:16:00,244,139,647,1,479,310,318,0
2026-06-14 18:16:30,244,131,,1,478,309,329,0
2026-06-14 18:17:00,244,132,,1,439,282,293,0.0667
2026-06-14 18:17:30,244,138,,1,481,316,334,0.0333
2026-06-14 18:18:00,244,147,647,1,481,318,325,0.0333
2026-06-14 18:18:30,244,140,,1,482,299,319,0.133
2026-06-14 18:19:00,244,147,,1,463,309,319,0.0667
2026-06-14 18:19:30,244,145,,1,441,330,348,0.133
2026-06-14 18:20:00,244,143,646,1,456,444,438,0.133
2026-06-14 18:20:30,244,147,,1,465,469,471,0.300
2026-06-14 18:21:00,244,141,,1,476,540,580,0.100
2026-06-14 18:21:30,244,137,,1,476,495,492,0.200